_CASE_KEY;ACTIVITY_EN;EVENTTIME;_SORTING;USER_NAME;User Type
1000005;Create Purchase Requisition Item;2016-03-29T17:45:26;0;Leontine Sifford;A
1000005;Create Purchase Order Item;2016-04-01T17:45:26;10;Alfonso Wernick;A
1000005;Send Purchase Order;2016-04-02T17:45:26;0;BATCH_JOB;B
1000005;Change Currency;2016-04-08T17:45:26;25;Alfonso Wernick;A
1000005;Record Goods Receipt;2016-04-14T17:45:26;30;Melissia Kreidler;A
1000005;Record Invoice Receipt;2016-04-18T17:45:26;0;BATCH_JOB;B
1000005;Clear Invoice;2016-05-03T17:45:26;0;Irene Llanas;A
1000006;Create Purchase Requisition Item;2016-03-30T17:45:26;0;Marita Creagh;A
1000006;Create Purchase Order Item;2016-04-01T17:45:26;10;Alfonso Wernick;A
1000006;Send Purchase Order;2016-04-03T17:45:26;0;BATCH_JOB;B
1000006;Delete Purchase Order Item;2016-04-10T17:45:26;30;Luisa Solar;A
1000007;Create Purchase Requisition Item;2016-03-31T17:50:07;0;BATCH_JOB;B
1000007;Create Purchase Order Item;2016-04-01T17:50:07;10;Francine Bevingt;A
1000007;Send Purchase Order;2016-04-03T17:50:07;0;BATCH_JOB;B
1000007;Block Purchase Order Item;2016-04-11T17:50:07;30;BATCH_JOB;B
1000008;Create Purchase Requisition Item;2016-03-31T07:08:11;0;BATCH_JOB;B
1000008;Create Purchase Order Item;2016-04-02T07:08:11;10;Dominica Kirkley;A
1000008;Send Purchase Order;2016-04-03T07:08:11;0;BATCH_JOB;B
1000008;Block Purchase Order Item;2016-04-08T07:08:11;30;BATCH_JOB;B
1000008;Release Purchase Order;2016-04-11T07:08:11;30;Anna Hulings;A
1000008;Record Goods Receipt;2016-04-15T07:08:11;30;Alejandro Atwood;A
1000008;Record Invoice Receipt;2016-04-21T07:08:11;0;BATCH_JOB;B
1000008;Clear Invoice;2016-05-04T07:08:11;0;Anna Hulings;A
1000009;Create Purchase Requisition Item;2016-03-30T07:14:04;0;BATCH_JOB;B
1000009;Create Purchase Order Item;2016-04-02T07:14:04;10;Yanira Gorrfried;A
1000009;Refuse Purchase Order;2016-04-04T07:14:04;0;Lawerence Pintor;A
100001;Record Invoice Receipt;2016-04-13T10:00:01;0;BATCH_JOB;B
100001;Create Purchase Order Item;2016-04-15T10:00:01;10;Marcela Ye;A
100001;Send Purchase Order;2016-04-17T10:00:01;0;BATCH_JOB;B
100001;Record Goods Receipt;2016-04-27T10:00:01;30;BATCH_JOB;B
100001;Clear Invoice;2016-04-30T10:00:01;0;Lawerence Pintor;A
1000010;Create Purchase Requisition Item;2016-04-01T07:21:32;0;BATCH_JOB;B
1000010;Create Purchase Order Item;2016-04-02T07:21:32;10;Leontine Sifford;A
1000010;Send Purchase Order;2016-04-04T07:21:32;0;BATCH_JOB;B
1000010;Record Goods Receipt;2016-04-13T07:21:32;30;Rachel Onorato;A
1000010;Record Invoice Receipt;2016-04-17T07:21:32;0;BATCH_JOB;B
1000010;Clear Invoice;2016-05-06T07:21:32;0;Lillian Wheaton;A
1000011;Create Purchase Requisition Item;2016-03-31T07:28:17;0;BATCH_JOB;B
1000011;Create Purchase Order Item;2016-04-02T07:28:17;10;Cherryl Vandine;A
1000011;Send Purchase Order;2016-04-04T07:28:17;0;BATCH_JOB;B
1000011;Record Goods Receipt;2016-04-10T07:28:17;30;Margene Hamil;A
1000011;Record Invoice Receipt;2016-04-19T07:28:17;0;BATCH_JOB;B
1000011;Clear Invoice;2016-05-04T07:28:17;0;Alejandro Atwood;A
1000012;Create Purchase Requisition Item;2016-03-31T07:28:17;0;BATCH_JOB;B
1000012;Create Purchase Order Item;2016-04-02T07:28:17;10;Gloria Ashburn;A
1000012;Send Purchase Order;2016-04-04T07:28:17;0;BATCH_JOB;B
1000012;Record Goods Receipt;2016-04-11T07:28:17;30;Lillian Wheaton;A
1000012;Record Invoice Receipt;2016-04-16T07:28:17;0;BATCH_JOB;B
1000012;Clear Invoice;2016-04-27T07:28:17;0;Lora Rieder;A
1000013;Create Purchase Requisition Item;2016-03-31T07:28:17;0;BATCH_JOB;B
1000013;Create Purchase Order Item;2016-04-02T07:28:17;10;Lavonna Haymon;A
1000013;Send Purchase Order;2016-04-05T07:28:17;0;BATCH_JOB;B
1000013;Record Goods Receipt;2016-04-12T07:28:17;30;Yanira Gorrfried;A
1000013;Record Invoice Receipt;2016-04-20T07:28:17;0;BATCH_JOB;B
1000013;Clear Invoice;2016-05-01T07:28:17;0;Melissia Kreidler;A
1000014;Create Purchase Requisition Item;2016-04-01T07:28:17;0;Felice Cover;A
1000014;Create Purchase Order Item;2016-04-02T07:28:17;10;Luisa Solar;A
1000014;Send Purchase Order;2016-04-03T07:28:17;0;BATCH_JOB;B
1000014;Record Goods Receipt;2016-04-11T07:28:17;30;Cherryl Vandine;A
1000014;Record Invoice Receipt;2016-04-20T07:28:17;0;BATCH_JOB;B
1000014;Clear Invoice;2016-05-05T07:28:17;0;Lessie Scheck;A
1000015;Create Purchase Requisition Item;2016-04-01T07:30:59;0;BATCH_JOB;B
1000015;Create Purchase Order Item;2016-04-02T07:30:59;10;Tyree Decastro;A
1000015;Send Purchase Order;2016-04-04T07:30:59;0;BATCH_JOB;B
1000015;Record Goods Receipt;2016-04-12T07:30:59;30;Francine Bevingt;A
1000015;Record Invoice Receipt;2016-04-18T07:30:59;0;BATCH_JOB;B
1000015;Clear Invoice;2016-05-03T07:30:59;0;Alejandro Atwood;A
1000016;Create Purchase Requisition Item;2016-03-30T07:32:30;0;BATCH_JOB;B
1000016;Create Purchase Order Item;2016-04-02T07:32:30;10;Felice Cover;A
1000016;Send Purchase Order;2016-04-05T07:32:30;0;BATCH_JOB;B
1000016;Record Goods Receipt;2016-04-12T07:32:30;30;Toby Narvaez;A
1000016;Record Invoice Receipt;2016-04-20T07:32:30;0;BATCH_JOB;B
1000016;Clear Invoice;2016-05-06T07:32:30;0;Tasia Snelgrove;A
1000017;Create Purchase Requisition Item;2016-03-31T07:32:30;0;Leontine Sifford;A
1000017;Create Purchase Order Item;2016-04-02T07:32:30;10;Emmie Schuldt;A
1000017;Send Purchase Order;2016-04-04T07:32:30;0;BATCH_JOB;B
1000017;Record Goods Receipt;2016-04-13T07:32:30;30;Lora Rieder;A
1000017;Record Invoice Receipt;2016-04-18T07:32:30;0;BATCH_JOB;B
1000017;Clear Invoice;2016-05-06T07:32:30;0;Lora Rieder;A
1000018;Create Purchase Requisition Item;2016-03-30T07:32:46;0;BATCH_JOB;B
1000018;Create Purchase Order Item;2016-04-02T07:32:46;10;Tyree Decastro;A
1000018;Send Purchase Order;2016-04-03T07:32:46;0;BATCH_JOB;B
1000018;Record Goods Receipt;2016-04-11T07:32:46;30;Marcela Ye;A
1000018;Record Invoice Receipt;2016-04-18T07:32:46;0;BATCH_JOB;B
1000018;Clear Invoice;2016-05-01T07:32:46;0;Summer Fusaro;A
1000019;Create Purchase Requisition Item;2016-03-31T07:33:21;0;Emmie Schuldt;A
1000019;Create Purchase Order Item;2016-04-02T07:33:21;10;Alvin Malin;A
1000019;Send Purchase Order;2016-04-04T07:33:21;0;BATCH_JOB;B
1000019;Record Goods Receipt;2016-04-13T07:33:21;30;Anna Hulings;A
1000019;Record Invoice Receipt;2016-04-19T07:33:21;0;BATCH_JOB;B
1000019;Clear Invoice;2016-05-02T07:33:21;0;Margene Hamil;A
100002;Create Purchase Requisition Item;2016-10-04T11:52:01;0;Marcela Ye;A
100002;Create Purchase Order Item;2016-10-06T11:52:01;10;Rachel Onorato;A
100002;Send Purchase Order;2016-10-08T11:52:01;0;BATCH_JOB;B
100002;Change Price;2016-10-13T11:52:01;25;BATCH_JOB;B
100002;Record Goods Receipt;2016-10-25T11:52:01;30;Alejandro Atwood;A
100002;Record Invoice Receipt;2016-10-28T11:52:01;0;BATCH_JOB;B
100002;Clear Invoice;2016-11-10T11:52:01;0;BATCH_JOB;B
1000020;Create Purchase Requisition Item;2016-04-01T07:33:40;0;Karri Ptacek;A
1000020;Create Purchase Order Item;2016-04-02T07:33:40;10;Margene Hamil;A
1000020;Send Purchase Order;2016-04-05T07:33:40;0;BATCH_JOB;B
1000020;Record Goods Receipt;2016-04-12T07:33:40;30;Summer Fusaro;A
1000020;Record Invoice Receipt;2016-04-20T07:33:40;0;BATCH_JOB;B
1000020;Clear Invoice;2016-04-30T07:33:40;0;Rona Hennis;A
1000021;Create Purchase Requisition Item;2016-04-01T07:33:40;0;Felice Cover;A
1000021;Create Purchase Order Item;2016-04-02T07:33:40;10;Alejandro Atwood;A
1000021;Send Purchase Order;2016-04-05T07:33:40;0;BATCH_JOB;B
1000021;Record Goods Receipt;2016-04-13T07:33:40;30;Toby Narvaez;A
1000021;Record Invoice Receipt;2016-04-16T07:33:40;0;BATCH_JOB;B
1000021;Clear Invoice;2016-05-03T07:33:40;0;Lucina Boyers;A
1000022;Create Purchase Requisition Item;2016-03-30T07:33:40;0;Lora Rieder;A
1000022;Create Purchase Order Item;2016-04-02T07:33:40;10;Felice Cover;A
1000022;Send Purchase Order;2016-04-04T07:33:40;0;BATCH_JOB;B
1000022;Record Goods Receipt;2016-04-11T07:33:40;30;Cerola Harry;A
1000022;Record Invoice Receipt;2016-04-19T07:33:40;0;BATCH_JOB;B
1000022;Clear Invoice;2016-04-28T07:33:40;0;Felice Cover;A
1000023;Create Purchase Requisition Item;2016-03-31T07:33:40;0;BATCH_JOB;B
1000023;Create Purchase Order Item;2016-04-02T07:33:40;10;Margene Hamil;A
1000023;Send Purchase Order;2016-04-03T07:33:40;0;BATCH_JOB;B
1000023;Record Goods Receipt;2016-04-12T07:33:40;30;Cerola Harry;A
1000023;Record Invoice Receipt;2016-04-17T07:33:40;0;BATCH_JOB;B
1000023;Clear Invoice;2016-05-03T07:33:40;0;Dominica Kirkley;A
1000024;Create Purchase Requisition Item;2016-03-31T07:33:40;0;BATCH_JOB;B
1000024;Create Purchase Order Item;2016-04-02T07:33:40;10;Alejandro Atwood;A
1000024;Send Purchase Order;2016-04-03T07:33:40;0;BATCH_JOB;B
1000024;Record Goods Receipt;2016-04-11T07:33:40;30;Cerola Harry;A
1000024;Record Invoice Receipt;2016-04-19T07:33:40;0;BATCH_JOB;B
1000024;Clear Invoice;2016-04-28T07:33:40;0;Lucina Boyers;A
1000025;Create Purchase Requisition Item;2016-03-31T07:33:40;0;BATCH_JOB;B
1000025;Create Purchase Order Item;2016-04-02T07:33:40;10;Dominica Kirkley;A
1000025;Send Purchase Order;2016-04-03T07:33:40;0;BATCH_JOB;B
1000025;Record Goods Receipt;2016-04-13T07:33:40;30;Dalila Proehl;A
1000025;Record Invoice Receipt;2016-04-18T07:33:40;0;BATCH_JOB;B
1000025;Clear Invoice;2016-05-04T07:33:40;0;Lavonna Haymon;A
1000026;Create Purchase Requisition Item;2016-03-30T07:33:40;0;Gloria Ashburn;A
1000026;Create Purchase Order Item;2016-04-02T07:33:40;10;Marita Creagh;A
1000026;Send Purchase Order;2016-04-04T07:33:40;0;BATCH_JOB;B
1000026;Record Goods Receipt;2016-04-11T07:33:40;30;Lessie Scheck;A
1000026;Record Invoice Receipt;2016-04-19T07:33:40;0;BATCH_JOB;B
1000026;Clear Invoice;2016-05-01T07:33:40;0;Emmie Schuldt;A
1000027;Record Invoice Receipt;2016-10-12T10:00:01;0;BATCH_JOB;B
1000027;Create Purchase Order Item;2016-10-15T10:00:01;10;Dalila Proehl;A
1000027;Send Purchase Order;2016-10-17T10:00:01;0;BATCH_JOB;B
1000027;Record Goods Receipt;2016-10-25T10:00:01;30;Jena Jeans;A
1000027;Clear Invoice;2016-11-12T10:00:01;0;Lavonna Haymon;A
1000028;Record Invoice Receipt;2016-10-14T10:00:01;0;BATCH_JOB;B
1000028;Create Purchase Order Item;2016-10-15T10:00:01;10;Dominica Kirkley;A
1000028;Send Purchase Order;2016-10-18T10:00:01;0;BATCH_JOB;B
1000028;Record Goods Receipt;2016-10-26T10:00:01;30;Alejandro Atwood;A
1000028;Clear Invoice;2016-11-09T10:00:01;0;Suellen Noecker;A
1000029;Record Invoice Receipt;2016-08-12T10:00:01;0;BATCH_JOB;B
1000029;Create Purchase Order Item;2016-08-15T10:00:01;10;Toby Narvaez;A
1000029;Send Purchase Order;2016-08-18T10:00:01;0;BATCH_JOB;B
1000029;Record Goods Receipt;2016-08-27T10:00:01;30;Francine Bevingt;A
1000029;Clear Invoice;2016-09-12T10:00:01;0;Alejandro Atwood;A
100003;Create Purchase Requisition Item;2016-10-04T11:52:01;0;Cherryl Vandine;A
100003;Create Purchase Order Item;2016-10-06T11:52:01;10;BATCH_JOB;B
100003;Send Purchase Order;2016-10-08T11:52:01;0;BATCH_JOB;B
100003;Change Price;2016-10-16T11:52:01;25;BATCH_JOB;B
100003;Record Goods Receipt;2016-10-24T11:52:01;30;BATCH_JOB;B
100003;Record Invoice Receipt;2016-10-30T11:52:01;0;BATCH_JOB;B
100003;Clear Invoice;2016-11-05T11:52:01;0;Emilio Sones;A
1000030;Create Purchase Requisition Item;2016-03-31T07:47:57;0;Dalila Proehl;A
1000030;Create Purchase Order Item;2016-04-02T07:47:57;10;Leontine Sifford;A
1000030;Send Purchase Order;2016-04-04T07:47:57;0;BATCH_JOB;B
1000030;Change Price;2016-04-11T07:47:57;25;Lessie Scheck;A
1000030;Record Goods Receipt;2016-04-20T07:47:57;30;Luisa Solar;A
1000030;Record Invoice Receipt;2016-04-27T07:47:57;0;BATCH_JOB;B
1000030;Clear Invoice;2016-05-06T07:47:57;0;Lillian Wheaton;A
1000031;Create Purchase Requisition Item;2016-03-31T07:47:57;0;Marcela Ye;A
1000031;Create Purchase Order Item;2016-04-02T07:47:57;10;Summer Fusaro;A
1000031;Change Quantity;2016-04-02T07:51:25;25;Cher Ehrmann;A
1000031;Send Purchase Order;2016-04-05T07:47:57;0;BATCH_JOB;B
1000031;Change Price;2016-04-13T07:47:57;25;Francine Bevingt;A
1000031;Record Goods Receipt;2016-04-21T07:47:57;30;Alejandro Atwood;A
1000031;Record Invoice Receipt;2016-04-28T07:47:57;0;BATCH_JOB;B
1000031;Clear Invoice;2016-05-05T07:47:57;0;Tasia Snelgrove;A
1000032;Create Purchase Requisition Item;2016-04-01T07:47:57;0;BATCH_JOB;B
1000032;Create Purchase Order Item;2016-04-02T07:47:57;10;Kristen Eckhoff;A
1000032;Send Purchase Order;2016-04-04T07:47:57;0;BATCH_JOB;B
1000032;Change Price;2016-04-10T07:47:57;25;Lora Rieder;A
1000032;Record Goods Receipt;2016-04-22T07:47:57;30;Kenia Romine;A
1000032;Record Invoice Receipt;2016-04-26T07:47:57;0;BATCH_JOB;B
1000032;Clear Invoice;2016-05-13T07:47:57;0;Roy Ortego;A
1000033;Create Purchase Requisition Item;2016-03-31T07:47:57;0;Lora Rieder;A
1000033;Create Purchase Order Item;2016-04-02T07:47:57;10;Ward Weckerly;A
1000033;Change Quantity;2016-04-02T07:51:25;25;Melissia Kreidler;A
1000033;Send Purchase Order;2016-04-05T07:47:57;0;BATCH_JOB;B
1000033;Change Price;2016-04-13T07:47:57;25;Tasia Snelgrove;A
1000033;Record Goods Receipt;2016-04-19T07:47:57;30;Anna Hulings;A
1000033;Record Invoice Receipt;2016-04-26T07:47:57;0;BATCH_JOB;B
1000033;Clear Invoice;2016-05-11T07:47:57;0;Dominica Kirkley;A
1000034;Create Purchase Order Item;2016-04-02T07:47:57;10;Orville Sheilds;A
1000034;Send Purchase Order;2016-04-04T07:47:57;0;BATCH_JOB;B
1000034;Record Goods Receipt;2016-04-12T07:47:57;30;Melissia Kreidler;A
1000034;Record Invoice Receipt;2016-04-17T07:47:57;0;BATCH_JOB;B
1000034;Clear Invoice;2016-04-30T07:47:57;0;Lora Rieder;A
1000035;Create Purchase Order Item;2016-04-02T07:52:12;10;Emilio Sones;A
1000035;Send Purchase Order;2016-04-04T07:52:12;0;BATCH_JOB;B
1000035;Record Goods Receipt;2016-04-13T07:52:12;30;Rachel Onorato;A
1000035;Record Invoice Receipt;2016-04-16T07:52:12;0;BATCH_JOB;B
1000035;Clear Invoice;2016-05-05T07:52:12;0;Gloria Ashburn;A
1000036;Create Purchase Order Item;2016-04-02T07:53:25;10;Lora Rieder;A
1000036;Send Purchase Order;2016-04-05T07:53:25;0;BATCH_JOB;B
1000036;Record Goods Receipt;2016-04-13T07:53:25;30;Anna Hulings;A
1000036;Record Invoice Receipt;2016-04-16T07:53:25;0;BATCH_JOB;B
1000036;Clear Invoice;2016-05-02T07:53:25;0;Lessie Scheck;A
1000037;Create Purchase Order Item;2016-04-02T07:57:09;10;Kristen Eckhoff;A
1000037;Send Purchase Order;2016-04-04T07:57:09;0;BATCH_JOB;B
1000037;Record Goods Receipt;2016-04-13T07:57:09;30;Summer Fusaro;A
1000037;Record Invoice Receipt;2016-04-18T07:57:09;0;BATCH_JOB;B
1000037;Clear Invoice;2016-04-27T07:57:09;0;Summer Fusaro;A
1000038;Create Purchase Order Item;2016-04-02T07:57:09;10;Jamie Mcclellan;A
1000038;Send Purchase Order;2016-04-03T07:57:09;0;BATCH_JOB;B
1000038;Record Goods Receipt;2016-04-13T07:57:09;30;Alfonso Wernick;A
1000038;Record Invoice Receipt;2016-04-19T07:57:09;0;BATCH_JOB;B
1000038;Clear Invoice;2016-05-05T07:57:09;0;Lavonna Haymon;A
1000039;Create Purchase Order Item;2016-04-02T07:57:09;10;Jamie Mcclellan;A
1000039;Send Purchase Order;2016-04-03T07:57:09;0;BATCH_JOB;B
1000039;Record Goods Receipt;2016-04-11T07:57:09;30;Jena Jeans;A
1000039;Record Invoice Receipt;2016-04-18T07:57:09;0;BATCH_JOB;B
1000039;Clear Invoice;2016-05-04T07:57:09;0;Marita Creagh;A
100004;Create Purchase Requisition Item;2016-10-04T11:52:01;0;Jena Jeans;A
100004;Create Purchase Order Item;2016-10-06T11:52:01;10;BATCH_JOB;B
100004;Send Purchase Order;2016-10-09T11:52:01;0;BATCH_JOB;B
100004;Change Price;2016-10-15T11:52:01;25;Lawerence Pintor;A
100004;Record Goods Receipt;2016-10-24T11:52:01;30;Irene Llanas;A
100004;Record Invoice Receipt;2016-10-29T11:52:01;0;BATCH_JOB;B
100004;Clear Invoice;2016-11-05T11:52:01;0;BATCH_JOB;B
1000040;Create Purchase Requisition Item;2016-04-01T07:57:09;0;BATCH_JOB;B
1000040;Create Purchase Order Item;2016-04-02T07:57:09;10;Rachel Onorato;A
1000040;Send Purchase Order;2016-04-03T07:57:09;0;BATCH_JOB;B
1000040;Receive Order Confirmation;2016-04-06T07:57:09;10;Toby Narvaez;A
1000040;Record Goods Receipt;2016-04-14T07:57:09;30;Irene Llanas;A
1000040;Record Invoice Receipt;2016-04-19T07:57:09;0;BATCH_JOB;B
1000040;Clear Invoice;2016-04-30T07:57:09;0;Rona Hennis;A
1000041;Create Purchase Requisition Item;2016-04-01T08:12:22;0;BATCH_JOB;B
1000041;Create Purchase Order Item;2016-04-02T08:12:22;10;Dalila Proehl;A
1000041;Send Purchase Order;2016-04-03T08:12:22;0;BATCH_JOB;B
1000041;Receive Order Confirmation;2016-04-06T08:12:22;10;Francine Bevingt;A
1000041;Record Goods Receipt;2016-04-13T08:12:22;30;Emmie Schuldt;A
1000041;Record Invoice Receipt;2016-04-17T08:12:22;0;BATCH_JOB;B
1000041;Clear Invoice;2016-05-02T08:12:22;0;Lucina Boyers;A
1000042;Create Purchase Requisition Item;2016-03-30T08:48:53;0;BATCH_JOB;B
1000042;Create Purchase Order Item;2016-04-02T08:48:53;10;Rachel Onorato;A
1000042;Send Purchase Order;2016-04-03T08:48:53;0;BATCH_JOB;B
1000042;Dun Order Confirmation;2016-04-09T08:48:53;10;Kristen Eckhoff;A
1000042;Receive Order Confirmation;2016-04-12T08:48:53;10;Yanira Gorrfried;A
1000042;Record Goods Receipt;2016-04-19T08:48:53;30;Gloria Ashburn;A
1000042;Record Invoice Receipt;2016-04-24T08:48:53;0;BATCH_JOB;B
1000042;Clear Invoice;2016-05-06T08:48:53;0;Marita Creagh;A
1000043;Create Purchase Requisition Item;2016-04-01T08:48:53;0;BATCH_JOB;B
1000043;Create Purchase Order Item;2016-04-02T08:48:53;10;Lang Winkler;A
1000043;Send Purchase Order;2016-04-05T08:48:53;0;BATCH_JOB;B
1000043;Dun Order Confirmation;2016-04-08T08:48:53;10;Dominica Kirkley;A
1000043;Receive Order Confirmation;2016-04-11T08:48:53;10;Leontine Sifford;A
1000043;Record Goods Receipt;2016-04-18T08:48:53;30;Lessie Scheck;A
1000043;Record Invoice Receipt;2016-04-23T08:48:53;0;BATCH_JOB;B
1000043;Clear Invoice;2016-04-30T08:48:53;0;Summer Fusaro;A
1000044;Create Purchase Requisition Item;2016-03-31T08:54:53;0;BATCH_JOB;B
1000044;Create Purchase Order Item;2016-04-02T08:54:53;10;Yanira Gorrfried;A
1000044;Send Purchase Order;2016-04-05T08:54:53;0;BATCH_JOB;B
1000044;Record Goods Receipt;2016-04-12T08:54:53;30;Summer Fusaro;A
1000044;Record Invoice Receipt;2016-04-20T08:54:53;0;BATCH_JOB;B
1000044;Set Payment Block;2016-04-23T08:54:53;0;Marita Creagh;A
1000044;Remove Payment Block;2016-04-27T08:54:53;0;Gloria Ashburn;A
1000044;Clear Invoice;2016-05-10T08:54:53;0;Cher Ehrmann;A
1000045;Create Purchase Requisition Item;2016-03-31T08:54:53;0;Cerola Harry;A
1000045;Create Purchase Order Item;2016-04-02T08:54:53;10;Tasia Snelgrove;A
1000045;Send Purchase Order;2016-04-04T08:54:53;0;BATCH_JOB;B
1000045;Send Purchase Order Update;2016-04-06T08:54:53;0;BATCH_JOB;B
1000045;Record Goods Receipt;2016-04-16T08:54:53;30;Lora Rieder;A
1000045;Record Invoice Receipt;2016-04-20T08:54:53;0;BATCH_JOB;B
1000045;Clear Invoice;2016-05-08T08:54:53;0;Luisa Solar;A
1000046;Create Purchase Requisition Item;2016-04-01T08:56:10;0;BATCH_JOB;B
1000046;Create Purchase Order Item;2016-04-02T08:56:10;10;Rona Hennis;A
1000046;Send Purchase Order;2016-04-05T08:56:10;0;BATCH_JOB;B
1000046;Change Currency;2016-04-07T08:56:10;25;Lillian Wheaton;A
1000046;Record Goods Receipt;2016-04-16T08:56:10;30;Alejandro Atwood;A
1000046;Record Invoice Receipt;2016-04-21T08:56:10;0;BATCH_JOB;B
1000046;Clear Invoice;2016-05-06T08:56:10;0;Marcela Ye;A
1000047;Create Purchase Requisition Item;2016-03-30T08:56:10;0;Cherryl Vandine;A
1000047;Create Purchase Order Item;2016-04-02T08:56:10;10;Margene Hamil;A
1000047;Send Purchase Order;2016-04-03T08:56:10;0;BATCH_JOB;B
1000047;Delete Purchase Order Item;2016-04-13T08:56:10;30;Emilio Sones;A
1000048;Create Purchase Requisition Item;2016-03-31T08:56:10;0;Jena Jeans;A
1000048;Create Purchase Order Item;2016-04-02T08:56:10;10;Yanira Gorrfried;A
1000048;Send Purchase Order;2016-04-04T08:56:10;0;BATCH_JOB;B
1000048;Block Purchase Order Item;2016-04-12T08:56:10;30;BATCH_JOB;B
1000049;Create Purchase Requisition Item;2016-04-01T08:57:20;0;BATCH_JOB;B
1000049;Create Purchase Order Item;2016-04-02T08:57:20;10;Karri Ptacek;A
1000049;Send Purchase Order;2016-04-05T08:57:20;0;BATCH_JOB;B
1000049;Block Purchase Order Item;2016-04-08T08:57:20;30;BATCH_JOB;B
1000049;Release Purchase Order;2016-04-14T08:57:20;30;Lavonna Haymon;A
1000049;Record Goods Receipt;2016-04-17T08:57:20;30;Roy Ortego;A
1000049;Record Invoice Receipt;2016-04-22T08:57:20;0;BATCH_JOB;B
1000049;Clear Invoice;2016-05-03T08:57:20;0;Jena Jeans;A
100005;Create Purchase Requisition Item;2016-10-05T11:52:18;0;BATCH_JOB;B
100005;Create Purchase Order Item;2016-10-06T11:52:18;10;BATCH_JOB;B
100005;Send Purchase Order;2016-10-08T11:52:18;0;BATCH_JOB;B
100005;Change Price;2016-10-15T11:52:18;25;Lora Rieder;A
100005;Record Goods Receipt;2016-10-26T11:52:18;30;Luisa Solar;A
100005;Record Invoice Receipt;2016-11-01T11:52:18;0;BATCH_JOB;B
100005;Clear Invoice;2016-11-11T11:52:18;0;Marcela Ye;A
